  mype,      init,   an2filt,    vfiltT,    upsend,    hfiltT,    weight,     hfilt,    dnsend,     vfilt,   filt2an,    output,     total
   196,    1.1229,    6.9437,    0.7524,    0.6082,    1.1070,    0.0586,    0.8157,    2.8326,    0.6980,    3.8243,    0.2855,   19.1531
   197,    1.0838,    6.9514,    0.7525,    0.6264,    1.0806,    0.0586,    0.8353,    2.8280,    0.7024,    3.8804,    0.2866,   19.1912
   198,    1.1130,    6.9015,    0.7530,    0.6269,    1.1381,    0.0586,    0.8613,    2.7827,    0.7043,    3.8272,    0.3405,   19.2144
   199,    1.0913,    6.8930,    0.7503,    0.6475,    1.1190,    0.0586,    0.8369,    2.8211,    0.6997,    3.8761,    0.2967,   19.1973
   200,    1.1285,    6.9427,    0.7554,    0.5555,    1.0666,    0.0586,    0.7200,    3.0571,    0.7089,    3.8198,    0.3010,   19.2175
   201,    1.0827,    6.9694,    0.7543,    0.5646,    1.0937,    0.0586,    0.7407,    3.0035,    0.7123,    3.8924,    0.2285,   19.2034
   202,    1.1170,    6.9193,    0.7556,    0.5744,    1.1308,    0.0590,    0.9129,    2.8240,    0.7087,    3.8422,    0.2663,   19.2160
   203,    1.0773,    6.9734,    0.7540,    0.5757,    1.1669,    0.0585,    0.8352,    2.8281,    0.7083,    3.9024,    0.2189,   19.2010
   204,    1.1176,    6.9583,    0.7552,    0.6036,    1.1813,    0.0588,    0.8437,    2.7826,    0.7084,    3.8360,    0.2692,   19.2180
   205,    1.0813,    6.9661,    0.7531,    0.6226,    1.1330,    0.0586,    0.8442,    2.8177,    0.7104,    3.9040,    0.2097,   19.2032
   206,    1.1032,    6.9527,    0.7527,    0.4803,    1.2882,    0.0586,    0.7236,    2.9391,    0.7079,    3.8310,    0.2729,   19.2148
   207,    1.0885,    6.9404,    0.7522,    0.6452,    1.1260,    0.0585,    0.7076,    2.9633,    0.7110,    3.8918,    0.2186,   19.2066
   208,    1.1203,    6.9186,    0.7352,    0.6770,    1.1232,    0.0585,    0.7036,    2.9671,    0.6809,    3.8256,    0.3149,   19.2287
   209,    1.0451,    6.9984,    0.7388,    0.6781,    1.1396,    0.0585,    0.6929,    2.9562,    0.6622,    3.6942,    0.4360,   19.1720
   210,    1.1374,    6.9822,    0.7389,    0.4634,    1.2387,    0.0594,    0.7330,    2.9490,    0.6835,    3.8235,    0.3195,   19.2319
   211,    1.0398,    7.0219,    0.7394,    0.6715,    1.1214,    0.0586,    0.6924,    2.9040,    0.6739,    3.7325,    0.4464,   19.1737
   212,    1.0945,    7.0176,    0.7299,    0.6153,    1.1281,    0.0586,    0.7061,    2.8916,    0.6760,    3.7901,    0.4093,   19.2210
   213,    1.0373,    7.0294,    0.7397,    0.6696,    1.1176,    0.0585,    0.7003,    2.8939,    0.6685,    3.6859,    0.4989,   19.1712
   214,    1.1092,    7.0311,    0.7328,    0.5506,    1.1669,    0.0585,    0.7055,    2.8913,    0.6780,    3.7923,    0.4092,   19.2290
   215,    1.0396,    7.1605,    0.7189,    0.5575,    1.1121,    0.0586,    0.7058,    2.8875,    0.6694,    3.7050,    0.4836,   19.1700
   216,    1.1371,    7.1080,    0.7201,    0.4792,    1.1414,    0.0586,    0.7069,    2.8826,    0.6811,    3.8281,    0.3809,   19.2262
   217,    1.0380,    7.1536,    0.7256,    0.5444,    1.1123,    0.0585,    0.7183,    2.8960,    0.6745,    3.6851,    0.3983,   19.0766
   218,    1.1158,    7.0638,    0.7302,    0.5139,    1.1635,    0.0586,    0.7053,    2.8872,    0.6836,    3.8273,    0.3753,   19.2289
   219,    1.0430,    7.0844,    0.7369,    0.6245,    1.0921,    0.0586,    0.7090,    2.8929,    0.6749,    3.6898,    0.4937,   19.1722
   220,    1.1146,    7.1346,    0.7222,    0.4302,    1.0531,    0.0587,    0.8225,    2.7807,    0.6694,    3.9892,    0.3553,   19.2321
   221,    1.0401,    7.1475,    0.7246,    0.5001,    1.0612,    0.0586,    0.8231,    2.7680,    0.6554,    3.8779,    0.4422,   19.1707
   222,    1.1061,    6.9744,    0.7349,    0.5923,    1.0694,    0.0586,    0.8216,    2.7594,    0.6723,    4.0066,    0.3230,   19.2220
   223,    1.0350,    7.0338,    0.7361,    0.6144,    1.1049,    0.0586,    0.8017,    2.7402,    0.6559,    3.8914,    0.4215,   19.1652
   224,    1.1575,    6.9983,    0.7579,    0.5422,    1.1667,    0.0602,    0.7147,    2.7430,    0.7076,    3.9971,    0.2681,   19.2181
   225,    1.0461,    7.0342,    0.7737,    0.6033,    1.0930,    0.0604,    0.7818,    2.7405,    0.6970,    3.8257,    0.4348,   19.1645
   226,    1.1020,    7.0400,    0.7502,    0.5585,    1.1000,    0.0586,    0.7297,    2.7899,    0.6989,    3.9836,    0.2964,   19.2121
   227,    1.0604,    7.0193,    0.7692,    0.6114,    1.0930,    0.0603,    0.7327,    2.7916,    0.6925,    3.8212,    0.4425,   19.1682
   228,    1.0931,    7.0238,    0.7453,    0.5949,    1.0902,    0.0586,    0.7204,    2.8018,    0.6964,    3.9686,    0.2782,   19.1770
   229,    1.0443,    7.0448,    0.7702,    0.6107,    1.0911,    0.0604,    0.7422,    2.7755,    0.6884,    3.7951,    0.4733,   19.1695
   230,    1.0857,    7.0667,    0.7497,    0.5644,    1.0868,    0.0586,    0.7377,    2.7783,    0.6831,    3.9991,    0.2928,   19.2065
   231,    1.0464,    7.0486,    0.7700,    0.6198,    1.0896,    0.0603,    0.7229,    2.7949,    0.6979,    3.7799,    0.4690,   19.1727
   232,    1.0931,    7.0654,    0.7499,    0.5630,    1.0919,    0.0586,    0.7260,    2.8020,    0.7014,    3.8775,    0.3757,   19.2072
   233,    1.0573,    7.0622,    0.7704,    0.6064,    1.0922,    0.0604,    0.7230,    2.8100,    0.7006,    3.7053,    0.5176,   19.1787
   234,    1.1017,    6.9475,    0.7536,    0.6701,    1.0983,    0.0586,    0.7170,    2.8396,    0.7108,    3.8465,    0.3606,   19.2088
   235,    1.0502,    7.2000,    0.7500,    0.4932,    1.0917,    0.0603,    0.7236,    2.8427,    0.7049,    3.6593,    0.5036,   19.1534
