  mype,      init,   an2filt,    vfiltT,    upsend,    hfiltT,    weight,     hfilt,    dnsend,     vfilt,   filt2an,    output,     total
     0,    1.1154,    7.1373,    0.7417,    0.7888,    2.1486,    0.1171,    1.5102,    0.8840,    0.6958,    3.7945,    0.1972,   19.2339
     1,    1.0768,    7.1056,    0.7570,    0.8545,    2.1588,    0.1172,    1.5077,    0.8637,    0.6940,    3.6386,    0.3288,   19.1772
     2,    1.0902,    7.1466,    0.7402,    0.8097,    2.1841,    0.1173,    1.5099,    0.8360,    0.6918,    3.8492,    0.1423,   19.2206
     3,    1.0363,    7.1300,    0.7585,    0.8786,    2.1560,    0.1172,    1.5078,    0.8278,    0.6963,    3.6714,    0.3145,   19.1694
     4,    1.1130,    7.0458,    0.7463,    0.8978,    2.1460,    0.1194,    1.5133,    0.8274,    0.6839,    3.8246,    0.1962,   19.2208
     5,    1.0449,    7.1249,    0.7565,    0.8999,    2.1314,    0.1171,    1.4978,    0.8226,    0.6962,    3.6803,    0.3328,   19.1784
     6,    1.1075,    7.1439,    0.7385,    0.8083,    2.1788,    0.1171,    1.4614,    0.8392,    0.6939,    3.8020,    0.2323,   19.2266
     7,    1.0422,    7.1378,    0.7549,    0.8818,    2.1486,    0.1172,    1.4594,    0.8514,    0.6958,    3.6501,    0.3574,   19.1705
     8,    1.0997,    7.0910,    0.7444,    0.8751,    2.1730,    0.1172,    1.4602,    0.8229,    0.6953,    3.8129,    0.2179,   19.2156
     9,    1.0369,    7.1195,    0.7558,    0.9137,    2.1494,    0.1171,    1.4573,    0.7918,    0.6842,    3.7099,    0.3583,   19.1677
    10,    1.1089,    7.1326,    0.7422,    0.8147,    2.1736,    0.1172,    1.5674,    0.6903,    0.6897,    3.8180,    0.2638,   19.2233
    11,    1.0348,    7.1299,    0.7533,    0.8851,    2.1879,    0.1171,    1.5687,    0.6733,    0.6921,    3.6563,    0.3924,   19.1654
    12,    1.1021,    6.8856,    0.7319,    1.0909,    2.2104,    0.1173,    1.5684,    0.6474,    0.6743,    3.8746,    0.2101,   19.2163
    13,    1.0377,    6.8985,    0.7162,    1.1700,    2.1888,    0.1170,    1.5719,    0.6578,    0.6949,    3.6574,    0.3832,   19.1666
    14,    1.1170,    7.0185,    0.7391,    0.9466,    2.1777,    0.1170,    1.5667,    0.6698,    0.6861,    3.8135,    0.2575,   19.2171
    15,    1.0449,    7.1461,    0.7534,    0.8929,    2.1639,    0.1171,    1.5628,    0.6276,    0.6790,    3.7308,    0.3758,   19.1684
    16,    1.1497,    7.0823,    0.7630,    0.8231,    2.1970,    0.1173,    1.5299,    0.6393,    0.6881,    3.8708,    0.2879,   19.2537
    17,    1.0508,    7.2303,    0.7604,    0.7919,    2.1791,    0.1172,    1.5216,    0.6185,    0.6864,    3.7343,    0.4033,   19.1663
    18,    1.1576,    7.1951,    0.7457,    0.7344,    2.2042,    0.1192,    1.5284,    0.5886,    0.6795,    3.8662,    0.3355,   19.2558
    19,    1.0554,    7.2389,    0.7568,    0.7981,    2.1792,    0.1172,    1.5244,    0.6051,    0.6803,    3.6802,    0.3987,   19.1066
    20,    1.1352,    7.1414,    0.7584,    0.7349,    2.2441,    0.1171,    1.6350,    0.6737,    0.6874,    3.8803,    0.1430,   19.2525
    21,    1.0462,    7.1666,    0.7675,    0.8050,    2.2018,    0.1172,    1.6846,    0.6506,    0.6890,    3.7681,    0.1915,   19.1601
    22,    1.1502,    7.1200,    0.7580,    0.7639,    2.2723,    0.1186,    1.6313,    0.6209,    0.6887,    3.9403,    0.0800,   19.2469
    23,    1.0474,    7.1584,    0.7696,    0.8332,    2.2508,    0.1172,    1.6378,    0.6056,    0.6966,    3.7930,    0.1812,   19.1632
    24,    1.1335,    7.0643,    0.7553,    0.8262,    2.2662,    0.1172,    1.5932,    0.6577,    0.6936,    3.9411,    0.0952,   19.2489
    25,    1.0510,    7.1557,    0.7669,    0.8278,    2.2481,    0.1172,    1.5954,    0.6339,    0.6997,    3.8096,    0.1490,   19.1266
    26,    1.1447,    7.1321,    0.7576,    0.7612,    2.2251,    0.1172,    1.6044,    0.6479,    0.6910,    3.9707,    0.0901,   19.2448
    27,    1.0520,    7.1669,    0.7674,    0.8307,    2.1977,    0.1172,    1.5095,    0.7588,    0.6968,    3.7792,    0.2159,   19.1647
    28,    1.1404,    7.0893,    0.7583,    0.8216,    2.2163,    0.1171,    1.5185,    0.7296,    0.6883,    3.9408,    0.1255,   19.2505
    29,    1.0549,    7.1390,    0.7687,    0.8611,    2.1947,    0.1171,    1.5236,    0.6843,    0.6879,    3.8410,    0.2149,   19.1599
    30,    1.1504,    7.1214,    0.7574,    0.7642,    2.1968,    0.1186,    1.5582,    0.6807,    0.6856,    3.9532,    0.1646,   19.2535
    31,    1.0477,    7.1577,    0.7688,    0.8315,    2.2013,    0.1172,    1.5716,    0.6645,    0.6945,    3.7989,    0.2342,   19.1604
    32,    1.1131,    6.9357,    0.7434,    1.0411,    2.1953,    0.1186,    1.5678,    0.6642,    0.7003,    3.9554,    0.0859,   19.2239
    33,    1.0765,    6.9058,    0.7206,    1.1345,    2.1741,    0.1176,    1.5689,    0.6782,    0.6891,    3.7714,    0.2621,   19.1705
    34,    1.0841,    6.8883,    0.7354,    1.1041,    2.2084,    0.1171,    1.5491,    0.6825,    0.6996,    3.9367,    0.1025,   19.2113
    35,    1.0518,    7.1405,    0.7514,    0.8817,    2.1854,    0.1175,    1.5520,    0.6386,    0.6824,    3.8219,    0.2727,   19.1682
    36,    1.0973,    7.1537,    0.7424,    0.8350,    2.1981,    0.1171,    1.5887,    0.5853,    0.6897,    3.9062,    0.1919,   19.2093
    37,    1.0456,    7.2422,    0.7394,    0.8154,    2.1735,    0.1177,    1.6308,    0.5182,    0.6724,    3.7759,    0.3661,   19.1690
    38,    1.0951,    7.2705,    0.7392,    0.7388,    2.1922,    0.1170,    1.6345,    0.4968,    0.6886,    3.9402,    0.1986,   19.2133
    39,    1.0446,    7.2558,    0.7390,    0.8141,    2.1707,    0.1176,    1.6354,    0.5078,    0.6750,    3.7587,    0.3775,   19.1679
    40,    1.1321,    7.1132,    0.7422,    0.7854,    2.2185,    0.1172,    1.5069,    0.8121,    0.7011,    3.8581,    0.1212,   19.2110
    41,    1.0497,    7.1316,    0.7510,    0.8626,    2.2196,    0.1177,    1.5138,    0.7926,    0.6823,    3.6727,    0.3061,   19.1715
    42,    1.1120,    7.1268,    0.7500,    0.7912,    2.2279,    0.1190,    1.5256,    0.7742,    0.7076,    3.8913,    0.0779,   19.2078
    43,    1.0467,    7.1182,    0.7529,    0.8828,    2.2022,    0.1175,    1.5272,    0.7669,    0.6873,    3.7118,    0.2835,   19.1693
    44,    1.0960,    7.0707,    0.7446,    0.8792,    2.2300,    0.1171,    1.5176,    0.7580,    0.6996,    3.8538,    0.1457,   19.2178
    45,    1.0554,    7.1153,    0.7473,    0.8984,    2.2017,    0.1175,    1.5248,    0.7378,    0.6844,    3.6979,    0.3269,   19.1792
    46,    1.0948,    7.1502,    0.7440,    0.8103,    2.2185,    0.1171,    1.4912,    0.7554,    0.7002,    3.8630,    0.1599,   19.2080
    47,    1.0432,    7.1250,    0.7484,    0.8977,    2.1934,    0.1176,    1.5305,    0.7321,    0.6851,    3.6666,    0.3520,   19.1634
    48,    1.0833,    7.1014,    0.7218,    0.9246,    2.1962,    0.1172,    1.5422,    0.7206,    0.6814,    3.6747,    0.3472,   19.1846
    49,    1.0362,    7.1127,    0.7068,    0.9629,    2.1560,    0.1172,    1.5590,    0.6882,    0.6846,    3.6468,    0.4196,   19.1624
    50,    1.0884,    7.1253,    0.7132,    0.8837,    2.1393,    0.1192,    1.4906,    0.7979,    0.6863,    3.6805,    0.3794,   19.1782
    51,    1.0727,    7.0938,    0.6947,    0.9497,    2.1393,    0.1172,    1.4996,    0.7885,    0.6801,    3.6001,    0.4599,   19.1680
    52,    1.0734,    6.9072,    0.7553,    1.0866,    2.1584,    0.1172,    1.5021,    0.7784,    0.6807,    3.6793,    0.3698,   19.1816
    53,    1.0363,    6.8938,    0.7430,    1.1434,    2.1372,    0.1173,    1.5098,    0.7774,    0.6816,    3.6117,    0.4364,   19.1597
    54,    1.0768,    6.8592,    0.7564,    1.1345,    2.1636,    0.1172,    1.4753,    0.7914,    0.6799,    3.6895,    0.3631,   19.1799
    55,    1.0385,    6.8500,    0.7430,    1.1895,    2.1452,    0.1172,    1.4720,    0.7498,    0.6773,    3.6597,    0.4480,   19.1618
    56,    1.0748,    6.8585,    0.7567,    1.1495,    2.1505,    0.1171,    1.4672,    0.7465,    0.6724,    3.6825,    0.4272,   19.1765
    57,    1.0376,    6.8441,    0.7485,    1.2034,    2.1381,    0.1172,    1.4575,    0.7203,    0.6748,    3.6530,    0.4955,   19.1618
    58,    1.0763,    6.8694,    0.7589,    1.1438,    2.1428,    0.1172,    1.4659,    0.7144,    0.6664,    3.6766,    0.4772,   19.1837
    59,    1.0373,    6.8518,    0.7468,    1.2036,    2.1288,    0.1172,    1.4673,    0.7174,    0.6776,    3.6088,    0.5332,   19.1622
    60,    1.0814,    6.9123,    0.7540,    1.0035,    2.2035,    0.1171,    1.4539,    0.8076,    0.6789,    3.7672,    0.3261,   19.1800
    61,    1.0408,    6.9488,    0.7360,    1.0488,    2.1753,    0.1172,    1.4618,    0.7947,    0.6785,    3.6968,    0.3965,   19.1668
    62,    1.0847,    6.9732,    0.7450,    0.9866,    2.1977,    0.1171,    1.5292,    0.7055,    0.6805,    3.7965,    0.2919,   19.1814
    63,    1.0315,    6.9614,    0.7338,    1.0543,    2.1859,    0.1171,    1.5526,    0.6817,    0.6795,    3.7071,    0.3786,   19.1561
    64,    1.1114,    6.8514,    0.7528,    1.0701,    2.1968,    0.1183,    1.5616,    0.6651,    0.6909,    3.8497,    0.2306,   19.2049
    65,    1.0603,    6.8807,    0.7675,    1.0890,    2.2168,    0.1171,    1.5087,    0.6847,    0.6934,    3.7301,    0.3415,   19.1637
    66,    1.1051,    6.9141,    0.7483,    1.0232,    2.2313,    0.1196,    1.5320,    0.6469,    0.6924,    3.8533,    0.2297,   19.2002
    67,    1.0661,    6.8845,    0.7672,    1.0938,    2.2105,    0.1172,    1.5243,    0.6203,    0.7040,    3.7525,    0.3514,   19.1652
    68,    1.0895,    6.8249,    0.7434,    1.1391,    2.2232,    0.1174,    1.4765,    0.6637,    0.6896,    3.8371,    0.2908,   19.2017
    69,    1.0924,    6.7789,    0.7632,    1.1838,    2.2012,    0.1171,    1.4200,    0.7276,    0.6991,    3.7026,    0.4063,   19.1649
    70,    1.0926,    6.8520,    0.7473,    1.0820,    2.2112,    0.1177,    1.4947,    0.6713,    0.6967,    3.8055,    0.3247,   19.2017
    71,    1.0559,    6.9023,    0.7576,    1.0691,    2.2048,    0.1171,    1.5185,    0.5940,    0.6873,    3.7291,    0.4497,   19.1595
    72,    1.1130,    6.9091,    0.7478,    1.0233,    2.2249,    0.1173,    1.5211,    0.5606,    0.6842,    3.9110,    0.2864,   19.2032
    73,    1.0602,    6.8953,    0.7618,    1.0890,    2.2140,    0.1171,    1.5091,    0.5779,    0.6902,    3.7570,    0.4177,   19.1622
    74,    1.0860,    6.9229,    0.7499,    1.0447,    2.2241,    0.1174,    1.4559,    0.6254,    0.6867,    3.8886,    0.2952,   19.2010
    75,    1.0611,    6.8848,    0.7637,    1.1092,    2.1996,    0.1171,    1.4970,    0.6082,    0.6923,    3.7319,    0.4255,   19.1642
    76,    1.0899,    6.9043,    0.7486,    1.0712,    2.2073,    0.1173,    1.5108,    0.5917,    0.6903,    3.8283,    0.3343,   19.1990
    77,    1.0583,    6.9260,    0.7545,    1.0924,    2.1815,    0.1171,    1.5282,    0.5946,    0.6930,    3.7294,    0.4157,   19.1637
    78,    1.0941,    6.9659,    0.7341,    1.0284,    2.2072,    0.1173,    1.5183,    0.5871,    0.6858,    3.8737,    0.2853,   19.2003
    79,    1.0616,    6.9384,    0.7556,    1.0854,    2.1823,    0.1171,    1.5214,    0.6053,    0.6974,    3.7302,    0.3994,   19.1674
    80,    1.1021,    6.8767,    0.7464,    1.0033,    2.2423,    0.1175,    1.4647,    0.7567,    0.7024,    3.8075,    0.2874,   19.2120
    81,    1.0439,    6.8836,    0.7464,    1.0996,    2.2217,    0.1172,    1.4521,    0.7610,    0.6864,    3.6216,    0.4647,   19.1703
    82,    1.1074,    6.8923,    0.7484,    1.0215,    2.2481,    0.1189,    1.4301,    0.7546,    0.7036,    3.8149,    0.2688,   19.2127
    83,    1.0442,    6.8978,    0.7458,    1.1067,    2.2180,    0.1171,    1.4560,    0.7464,    0.6848,    3.6202,    0.4627,   19.1715
    84,    1.0927,    6.9082,    0.7380,    1.0497,    2.2366,    0.1173,    1.4592,    0.7191,    0.6933,    3.8027,    0.2870,   19.2080
    85,    1.0451,    6.8979,    0.7438,    1.1213,    2.2143,    0.1172,    1.4961,    0.6971,    0.6821,    3.6134,    0.4694,   19.1692
    86,    1.0947,    6.9184,    0.7406,    1.0399,    2.2276,    0.1171,    1.5905,    0.5942,    0.6936,    3.7916,    0.2979,   19.2104
    87,    1.0410,    7.0204,    0.7414,    1.0096,    2.2014,    0.1171,    1.6312,    0.5372,    0.6892,    3.6444,    0.4626,   19.1677
    88,    1.0935,    7.0153,    0.7380,    0.9584,    2.2235,    0.1171,    1.6351,    0.5116,    0.6951,    3.8326,    0.2828,   19.2065
    89,    1.0446,    7.0723,    0.7291,    0.9737,    2.1999,    0.1170,    1.6411,    0.5203,    0.6860,    3.6330,    0.4763,   19.1653
    90,    1.1040,    7.0870,    0.7239,    0.8660,    2.1885,    0.1172,    1.4677,    0.7446,    0.6922,    3.8315,    0.2915,   19.2173
    91,    1.0419,    7.0890,    0.7335,    0.9314,    2.1972,    0.1171,    1.4523,    0.6837,    0.6772,    3.7001,    0.4766,   19.1726
    92,    1.0938,    7.0093,    0.7373,    0.9572,    2.2162,    0.1170,    1.4232,    0.6838,    0.6842,    3.8045,    0.3828,   19.2138
    93,    1.0408,    7.0397,    0.7422,    0.9912,    2.1936,    0.1172,    1.4295,    0.6911,    0.6762,    3.6205,    0.5557,   19.1700
    94,    1.0992,    7.0500,    0.7311,    0.9305,    2.2107,    0.1171,    1.4460,    0.6683,    0.6858,    3.8110,    0.3553,   19.2090
    95,    1.0391,    7.0493,    0.7366,    0.9988,    2.1897,    0.1171,    1.4855,    0.6462,    0.6768,    3.6444,    0.5092,   19.1650
    96,    1.1093,    6.9911,    0.7470,    0.9773,    2.2024,    0.1305,    1.5094,    0.6039,    0.7128,    3.8354,    0.2849,   19.2102
    97,    1.0417,    6.9924,    0.7610,    1.0400,    2.1760,    0.1205,    1.5179,    0.6285,    0.7017,    3.6704,    0.4473,   19.1695
    98,    1.0835,    7.0254,    0.7386,    0.9806,    2.1886,    0.1283,    1.5502,    0.5792,    0.7034,    3.7971,    0.3231,   19.2029
    99,    1.0405,    7.0066,    0.7577,    1.0402,    2.1628,    0.1205,    1.5403,    0.6127,    0.7028,    3.6695,    0.4438,   19.1702
   100,    1.0605,    7.0336,    0.7388,    0.9822,    2.1457,    0.1284,    1.4702,    0.7331,    0.7066,    3.7482,    0.3523,   19.2033
   101,    1.0699,    6.9709,    0.7612,    1.0340,    2.1530,    0.1206,    1.4447,    0.7444,    0.7033,    3.6642,    0.4323,   19.1701
   102,    1.0725,    6.9664,    0.7419,    1.0601,    2.1556,    0.1285,    1.4631,    0.7015,    0.7114,    3.8185,    0.2737,   19.2002
   103,    1.0390,    7.2266,    0.7387,    0.8425,    2.1573,    0.1206,    1.4412,    0.7316,    0.7018,    3.6803,    0.4189,   19.1700
   104,    1.0619,    7.2484,    0.7143,    0.8293,    2.1393,    0.1283,    1.4595,    0.7113,    0.6933,    3.8352,    0.2775,   19.2021
   105,    1.0514,    7.2170,    0.7424,    0.8210,    2.1618,    0.1208,    1.4538,    0.7409,    0.7078,    3.6808,    0.4095,   19.1790
   106,    1.0614,    7.1747,    0.7322,    0.8683,    2.1824,    0.1284,    1.4558,    0.6892,    0.7072,    3.8163,    0.2712,   19.1929
   107,    1.0664,    7.1111,    0.7473,    0.9068,    2.1704,    0.1206,    1.4421,    0.7319,    0.7079,    3.7092,    0.2561,   19.0421
   108,    1.0757,    7.1432,    0.7300,    0.8971,    2.1892,    0.1282,    1.4532,    0.6776,    0.7065,    3.8202,    0.2743,   19.2021
   109,    1.0474,    7.1270,    0.7532,    0.9460,    2.1546,    0.1206,    1.4421,    0.7195,    0.7036,    3.6519,    0.4399,   19.1776
   110,    1.0803,    7.1584,    0.7282,    0.8522,    2.1824,    0.1282,    1.4432,    0.7250,    0.7080,    3.7772,    0.3153,   19.2047
   111,    1.0364,    7.1434,    0.7505,    0.8973,    2.1801,    0.1206,    1.4337,    0.6756,    0.6868,    3.7372,    0.4284,   19.1619
   112,    1.0881,    7.1654,    0.7605,    0.8099,    2.1690,    0.1172,    1.4406,    0.6791,    0.7027,    3.8211,    0.3384,   19.1980
   113,    1.0398,    7.1557,    0.7595,    0.8928,    2.1812,    0.1171,    1.4247,    0.6719,    0.6889,    3.6569,    0.5070,   19.1681
   114,    1.0956,    7.1647,    0.7593,    0.8273,    2.1616,    0.1185,    1.4326,    0.6892,    0.6968,    3.8174,    0.3402,   19.2088
   115,    1.0427,    7.1951,    0.7546,    0.8166,    2.1882,    0.1172,    1.4269,    0.7287,    0.6879,    3.6533,    0.4885,   19.1721
   116,    1.0826,    7.2149,    0.7563,    0.7580,    2.1880,    0.1171,    1.4340,    0.7065,    0.6979,    3.8213,    0.3231,   19.2031
   117,    1.0472,    7.2049,    0.7571,    0.8295,    2.1628,    0.1172,    1.4450,    0.7189,    0.6940,    3.6397,    0.4516,   19.1400
   118,    1.0931,    7.1497,    0.7660,    0.8256,    2.1644,    0.1189,    1.4407,    0.7117,    0.7097,    3.8347,    0.2861,   19.2067
   119,    1.0419,    7.1513,    0.7593,    0.9035,    2.1424,    0.1171,    1.4366,    0.7318,    0.6971,    3.6451,    0.4730,   19.1719
   120,    1.0979,    7.1480,    0.7602,    0.7829,    2.1748,    0.1171,    1.4362,    0.7656,    0.7072,    3.7926,    0.3170,   19.2041
   121,    1.0488,    7.1565,    0.7602,    0.8645,    2.1813,    0.1171,    1.4314,    0.7512,    0.6999,    3.6327,    0.4618,   19.1774
   122,    1.0865,    7.1254,    0.7591,    0.8547,    2.1586,    0.1171,    1.4433,    0.7498,    0.7065,    3.8075,    0.2793,   19.1947
   123,    1.0585,    7.2519,    0.7483,    0.7872,    2.1569,    0.1173,    1.4254,    0.7640,    0.7009,    3.6418,    0.4467,   19.1712
   124,    1.0828,    7.2655,    0.7444,    0.7503,    2.1403,    0.1174,    1.4342,    0.7645,    0.7077,    3.8206,    0.2751,   19.2057
   125,    1.0496,    7.2647,    0.7485,    0.4014,    2.3677,    0.0586,    0.9547,    1.4803,    0.6991,    3.6482,    0.4378,   19.1828
   126,    1.0803,    7.1967,    0.7598,    0.3760,    2.3892,    0.0586,    0.9860,    1.4573,    0.7064,    3.8295,    0.2631,   19.2067
   127,    1.0396,    7.1860,    0.7601,    0.4455,    2.3650,    0.0585,    1.0184,    1.4445,    0.7006,    3.6954,    0.2561,   19.0418
   128,    1.1499,    7.1112,    0.7458,    0.3339,    2.4794,    0.0586,    0.9907,    1.4438,    0.6914,    3.8836,    0.2523,   19.2461
   129,    1.0352,    7.1693,    0.7416,    0.4506,    2.4048,    0.0586,    1.0003,    1.4417,    0.6805,    3.6593,    0.4531,   19.1673
   130,    1.1543,    7.1263,    0.7511,    0.3571,    2.4137,    0.0597,    0.9749,    1.4567,    0.6950,    3.8636,    0.2842,   19.2404
   131,    1.0391,    7.1927,    0.7424,    0.4665,    2.3464,    0.0586,    0.9827,    1.4229,    0.6695,    3.6666,    0.5078,   19.1675
   132,    1.1469,    7.1661,    0.7409,    0.3859,    2.3454,    0.0586,    0.9744,    1.4280,    0.6809,    3.8271,    0.3858,   19.2428
   133,    1.0340,    7.2108,    0.7316,    0.4753,    2.3270,    0.0586,    0.9951,    1.4107,    0.6620,    3.6038,    0.5862,   19.1673
   134,    1.2023,    7.0983,    0.7432,    0.3947,    2.3515,    0.0586,    0.9822,    1.4206,    0.6835,    3.8324,    0.3714,   19.2418
   135,    1.0371,    7.2411,    0.7349,    0.4433,    2.3326,    0.0586,    0.9806,    1.4429,    0.6735,    3.5598,    0.5959,   19.1722
